INSURED_VALUE,PREMIUM,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,CCM_TON,EFFECTIVE_YR,insr_duration,prem_insr_ratio,SEX_0,SEX_1,SEX_2,INSR_TYPE_1201,INSR_TYPE_1202,TYPE_VEHICLE_Automobile,TYPE_VEHICLE_Bus,TYPE_VEHICLE_Motor-cycle,TYPE_VEHICLE_Pick-up,TYPE_VEHICLE_Station Wagones,TYPE_VEHICLE_Tanker,TYPE_VEHICLE_Trailers and semitrailers,TYPE_VEHICLE_Truck,MAKE_BMW,MAKE_CALABRASE,MAKE_DAF,MAKE_DAIHATSU TERIOS,MAKE_FIAT,MAKE_ISUZU,MAKE_IVECO,MAKE_MARU,MAKE_MERCEDES,MAKE_MESFIN,MAKE_MITSUBISHI,MAKE_NISSAN,MAKE_RANGEROVER,MAKE_SUZUKI,MAKE_TOYOTA,MAKE_YAMAHA,MAKE_ZZ,USAGE_Car Hires,USAGE_Fare Paying Passengers,USAGE_General Cartage,USAGE_Own Goods,USAGE_Own service,USAGE_Private,USAGE_Taxi,insr_begin_season_Autumn,insr_begin_season_Spring,insr_begin_season_Summer,insr_begin_season_Winter,insr_end_season_Autumn,insr_end_season_Spring,insr_end_season_Summer,insr_end_season_Winter,CLAIM_PAID
-0.8509037451736216,-0.6538919619637633,0.2984352428927611,-0.09844597910178342,-0.11174835446900572,-0.17027138834465444,0.7919968363015215,0.1591089414105185,-0.2674266717692357,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.31102090703978397,-0.2960490638512872,-0.038779720827876375,0.1507843477381746,-0.11174835446900572,-0.4445931316655957,0.7919968363015215,0.1591089414105185,-0.09806401205836057,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.31102090703978397,-0.2960490638512872,-0.038779720827876375,0.1507843477381746,-0.11174835446900572,-0.4445931316655957,0.7919968363015215,0.1591089414105185,-0.09806401205836057,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.598958420711164,-0.6724701605495841,-0.15118470873475554,-0.09844597910178342,-0.11174835446900572,-0.8131025980151864,0.7919968363015215,0.1591089414105185,-0.23856049339338822,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.5447009435516655,-0.701654982642685,0.7480551945202777,-0.09844597910178342,-0.11174835446900572,-0.7994453781760322,0.7919968363015215,0.1591089414105185,-0.6556359334494902,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.8171936583647208,-0.892342305407808,0.2984352428927611,-0.47229146936172045,-0.11174835446900572,-1.0692932046531127,0.7919968363015215,0.1591089414105185,0.8089295833031156,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.598958420711164,-0.6724701605495841,-0.15118470873475554,-0.09844597910178342,-0.11174835446900572,-0.8131025980151864,0.7919968363015215,0.1591089414105185,-0.23856049339338822,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3482711008917704,-0.4459352081727473,-0.488399672455393,0.4000146745781326,-0.11174835446900572,-0.13047707536505007,0.7919968363015215,0.1591089414105185,-0.3927212338103555,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.8171936583647208,-0.892342305407808,0.2984352428927611,-0.47229146936172045,-0.11174835446900572,-1.0692932046531127,0.7919968363015215,0.1591089414105185,0.8089295833031156,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3482711008917704,-0.4459352081727473,-0.488399672455393,0.4000146745781326,-0.11174835446900572,-0.13047707536505007,0.7919968363015215,0.1591089414105185,-0.3927212338103555,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
